text,label
"I need to book an appointment with Dr. Smith","appointment"
"Can I schedule a visit for tomorrow?","appointment"
"Is Dr. Rao available next Monday?","appointment"
"I want to see a cardiologist","appointment"
"Book a slot for dental checkup","appointment"
"Need an appointment for my son","appointment"
"Are there any slots open for this afternoon?","appointment"
"I need to reschedule my appointment to next week","appointment"
"Cancel my appointment on Friday","appointment"
"When is the next available slot for Dr. Jones?","appointment"
"I would like to book a consultation","appointment"
"Can I come in for a checkup today?","appointment"
"Urgent appointment needed for severe pain","appointment"
"Scheduling a follow-up visit","appointment"
"I need to see a doctor immediately","appointment"
"Book me in for 10 AM tomorrow","appointment"
"Is the clinic open for appointments on Sunday?","appointment"
"Appointment request for John Doe","appointment"
"I want to book a general physician","appointment"
"Can I get a slot for dermatology?","appointment"
"I need to pay my bill for the last visit","billing"
"How much is the consultation fee?","billing"
"Send me the invoice for my surgery","billing"
"I haven't received my receipt yet","billing"
"The bill amount seems incorrect","billing"
"Can I pay via credit card?","billing"
"Is my insurance accepted here?","billing"
"I want to clear my dues","billing"
"Billing query regarding my admission","billing"
"Refund request for cancelled appointment","billing"
"What is the cost of an MRI scan?","billing"
"I was overcharged for the tests","billing"
"Payment failed, how to retry?","billing"
"Do you offer payment plans?","billing"
"I need a breakdown of the charges","billing"
"Is there a discount for senior citizens?","billing"
"My insurance claim was rejected","billing"
"How do I pay online?","billing"
"Receipt for yesterday's payment","billing"
"Question about the pharmacy bill","billing"
"Billing department contact number please","billing"
"I haven't received my blood test report","reports"
"When will my X-ray results be ready?","reports"
"Send my lab reports to my email","reports"
"Can I collect my MRI report today?","reports"
"My report is showing an error","reports"
"Status of my urine test results","reports"
"I need a copy of my discharge summary","reports"
"Are the pathology results out yet?","reports"
"Download link for my medical records","reports"
"Report for patient ID 12345","reports"
"Waiting for my biopsy result","reports"
"Can you fax the report to my insurance?","reports"
"Is the blood sugar report available?","reports"
"I lost my physical report, need a digital copy","reports"
"How long does it take for the CT scan report?","reports"
"The report has a wrong name","reports"
"Checking if my results are back from the lab","reports"
"Need my vaccination record","reports"
"Where can I view my test history?","reports"
"Lab results are delayed","reports"
"I want to raise a complaint about the waiting time","complaint"
"The staff was very rude to me","complaint"
"The hospital is not clean","complaint"
"I waited 3 hours for the doctor","complaint"
"Nobody is answering the phone","complaint"
"Bad experience with the nurse","complaint"
"The facilities are in poor condition","complaint"
"My appointment was cancelled without notice","complaint"
"The doctor didn't listen to my problem","complaint"
"I am very unhappy with the service","complaint"
"Parking situation is terrible","complaint"
"The food in the cafeteria was cold","complaint"
"Noise levels in the ward were too high","complaint"
"Receptionist was unhelpful","complaint"
"AC was not working in the waiting room","complaint"
"Hygiene standards are low","complaint"
"I want to speak to the manager about a complaint","complaint"
"Unacceptable delay in service","complaint"
"The washrooms are dirty","complaint"
"Complaint regarding potential medical negligence","complaint"
"Dr. Smith is the best doctor","appointment"
"Please bill my insurance directly","billing"
"Where do I pick up the report?","reports"
"This service is terrible","complaint"
"Book an appointment for vaccination","appointment"
"Invoice #5678 query","billing"
"Test results for diabetes","reports"
"Very long queue at the pharmacy","complaint"
"Slot availability for ENT","appointment"
"My credit card was charged twice","billing"
"Email me the pdf report","reports"
"Rude security guard","complaint"
"Consultation for back pain","appointment"
"Cost of full body checkup","billing"
"When will the report be uploaded?","reports"
"Air conditioning is too cold","complaint"
"I want to see a neurologist","appointment"
"Is cash accepted?","billing"
"Hard copy of the report","reports"
"Doctor was late","complaint"
